,code,predictmonth,predicted_range,predicted_prob,type,monthly_returns,display_name,name
0,002120.XSHE,2018-01,0,0.70232844,Long,-0.06394490900147554,韵达股份,YDGF
1,600029.XSHG,2018-01,0,0.67853564,Long,-0.011986301369863115,南方航空,NFHK
2,600547.XSHG,2018-01,0,0.62688684,Long,0.018978761861726312,山东黄金,SDHJ
3,600516.XSHG,2018-01,0,0.60490614,Long,0.026194144838212585,方大炭素,FDTS
4,002001.XSHE,2018-01,0,0.5954808,Long,0.033653846153846034,新和成,XHC
5,000651.XSHE,2018-01,0,0.5947131,Long,0.27994157740993186,格力电器,GLDQ
6,300014.XSHE,2018-01,0,0.58395743,Long,-0.1026392961876833,亿纬锂能,YWLN
7,600438.XSHG,2018-01,0,0.56926835,Long,-0.014579759862778709,通威股份,TWGF
8,000723.XSHE,2018-01,0,0.56638134,Long,-0.04587155963302747,美锦能源,MJNY
9,600352.XSHG,2018-01,0,0.5659352,Long,0.06474820143884896,浙江龙盛,ZJLS
10,600887.XSHG,2018-01,0,0.55787355,Long,0.059197324414715924,伊利股份,YLGF
11,002555.XSHE,2018-01,0,0.5533686,Long,0.0010198878123406363,三七互娱,SQHY
12,000860.XSHE,2018-01,0,0.5469948,Long,0.05741626794258381,顺鑫农业,SXNY
13,002508.XSHE,2018-01,0,0.5413587,Long,0.11251664447403464,老板电器,LBDQ
14,000786.XSHE,2018-01,0,0.52852976,Long,0.09902370990237096,北新建材,BXJC
15,600183.XSHG,2018-01,0,0.5255835,Long,-0.09665763324299914,生益科技,SYKJ
16,300347.XSHE,2018-01,0,0.52498126,Long,0.07758620689655182,泰格医药,TGYY
17,000425.XSHE,2018-01,0,0.5243773,Long,-0.011160714285714413,徐工机械,XGJX
18,600346.XSHG,2018-01,0,0.52120066,Long,0.20648259303721492,恒力石化,HLSH
19,002304.XSHE,2018-01,0,0.5174369,Long,0.12996727442730238,洋河股份,YHGF
20,600547.XSHG,2018-02,0,0.7274974,Long,-0.1813747228381375,山东黄金,SDHJ
21,002120.XSHE,2018-02,0,0.6969309,Long,0.016815554387808795,韵达股份,YDGF
22,600029.XSHG,2018-02,0,0.6920303,Long,0.002599653379549593,南方航空,NFHK
23,002555.XSHE,2018-02,0,0.67753357,Long,0.009169638308711205,三七互娱,SQHY
24,000723.XSHE,2018-02,0,0.6405559,Long,-0.04487179487179493,美锦能源,MJNY
25,000708.XSHE,2018-02,0,0.6170281,Long,-0.029850746268656806,中信特钢,ZXTG
26,000425.XSHE,2018-02,0,0.6156842,Long,-0.0744920993227991,徐工机械,XGJX
27,600516.XSHG,2018-02,0,0.5885967,Long,-0.0030030030030030463,方大炭素,FDTS
28,601899.XSHG,2018-02,0,0.5851487,Long,-0.10288065843621397,紫金矿业,ZJKY
29,601111.XSHG,2018-02,0,0.58005476,Long,0.04605776736924283,中国国航,ZGGH
30,300014.XSHE,2018-02,0,0.57975125,Long,0.013071895424836777,亿纬锂能,YWLN
31,002153.XSHE,2018-02,0,0.5761768,Long,0.12176681257461207,石基信息,SJXX
32,600118.XSHG,2018-02,0,0.57131094,Long,-0.11363636363636355,中国卫星,ZGWX
33,603019.XSHG,2018-02,0,0.56944543,Long,0.13278008298755184,中科曙光,ZKSG
34,000786.XSHE,2018-02,0,0.5677102,Long,-0.04145516074450084,北新建材,BXJC
35,002624.XSHE,2018-02,0,0.5624374,Long,0.1071913161465401,完美世界,WMSJ
36,300122.XSHE,2018-02,0,0.5554141,Long,0.03394160583941597,智飞生物,ZFSW
37,300144.XSHE,2018-02,0,0.55378824,Long,0.06547619047619048,宋城演艺,SCYY
38,600271.XSHG,2018-02,0,0.5525135,Long,-0.020654911838790983,航天信息,HTXX
39,300347.XSHE,2018-02,0,0.546572,Long,0.03600000000000003,泰格医药,TGYY
40,000723.XSHE,2018-03,0,0.77404,Long,-0.13590604026845632,美锦能源,MJNY
41,300014.XSHE,2018-03,0,0.7652018,Long,0.005376344086021501,亿纬锂能,YWLN
42,002371.XSHE,2018-03,0,0.7469723,Long,0.3619869125520525,北方华创,BFHC
43,300122.XSHE,2018-03,0,0.7223157,Long,0.182139075185316,智飞生物,ZFSW
44,002555.XSHE,2018-03,0,0.71658736,Long,-0.10146390711761732,三七互娱,SQHY
45,002463.XSHE,2018-03,0,0.71237224,Long,-0.0535714285714286,沪电股份,HDGF
